class,MAT mean,MAT std,AP mean,AP std
Af,25.46731573587077,1.805747747577829,2664.1002237357693,674.2239664794469
Am,25.417658933210415,1.4994652569951519,2242.0837857616966,589.8801942069639
Aw,24.86693131706902,1.9926284418872235,1339.9157383659663,377.7719080253095
As,25.135812004834122,1.8990764712180397,1176.292269967305,435.6969422247578
BWh,24.266242128019293,3.2418495809951735,127.68333290015482,108.05034547766226
BWk,9.911532023720696,4.9775674225375415,116.77160892239377,65.62755049562617
BSh,23.818235618567343,3.2739188831263584,536.4304924601571,174.67317088520454
BSk,9.098001014779776,5.722153752909469,301.32921540281245,112.29404056249778
Csa,15.841218876346638,3.953040828108642,621.0668764752164,260.5355595576314
Csb,10.857274488249585,3.1185898601438176,813.1927017225748,490.64548335446966
Csc,4.965416294210955,1.580061534820734,708.9770554493308,434.4237027321686
Cwa,19.50232954629011,3.5366967783216166,1198.275562633904,551.443495430099
Cwb,14.664940224724294,4.15049143190531,1094.2939658408409,500.94287071064906
Cwc,6.985694299569622,2.6154009377763896,620.0068728522336,345.4869943887225
Cfa,15.927705851270977,3.427134899030971,1161.8484332658313,396.8692641996735
Cfb,10.067630868553106,3.1237907338598774,1064.4607263733403,650.5339359790293
Cfc,5.431758680605694,1.6204482422914803,1691.1000284575982,1104.7926971853547
Dsa,9.68980934756443,1.5832788932695836,433.1635462555066,190.20231714480195
Dsb,5.63627810426869,2.3726318617529985,510.4524650189617,202.89048163334266
Dsc,-6.797044597421918,4.693695016045454,349.72603912368027,212.04071554976912
Dsd,-13.955364023341085,0.8130322465977071,272.41148325358853,49.46314485293276
Dwa,6.709550679175821,2.685787654132453,632.9844189569358,218.4316210932475
Dwb,1.4505982409235427,2.9365326253100434,562.0984430385427,169.85311395497
Dwc,-4.688528702644491,3.069934623726433,466.0331476673088,135.0439728388087
Dwd,-13.962002504809472,1.3746402280038381,315.9856367139604,56.66195883680682
Dfa,7.620819353984049,2.0029010803271086,565.4324846356453,239.4310888054262
Dfb,3.3747820611612904,2.3976173745658524,626.1067931253209,249.27153156211781
Dfc,-5.0473219345702445,4.747950338309895,491.5984442037681,239.19407797944083
Dfd,-13.906332781434083,1.657914598478214,248.74294529793661,56.96261267963724
ET,-10.228643429305507,6.250106879356954,361.65720691614155,345.34966513544197
EF,-35.913672449575,11.275380941704729,145.4918021355231,206.29497573041382
